"name","group","id","Esperança de vida ao nascer 2000","lat","long",
"ALTA FLORESTA D'OESTE","Rondônia",110001,66.9,-11.9283,-61.9953,
"ARIQUEMES","Rondônia",110002,69.52,-9.90571,-63.0325,
"CABIXI","Rondônia",110003,65.62,-13.4945,-60.552,
"CACOAL","Rondônia",110004,69.7,-11.4343,-61.4562,
"CEREJEIRAS","Rondônia",110005,67.22,-13.187,-60.8168,
"COLORADO DO OESTE","Rondônia",110006,67.61,-13.1174,-60.5454,
"CORUMBIARA","Rondônia",110007,63.94,-12.9551,-60.8947,
"COSTA MARQUES","Rondônia",110008,64.01,-12.4367,-64.228,
"ESPIGÃO D'OESTE","Rondônia",110009,67.61,-11.5266,-61.0252,
"GUAJARÁ-MIRIM","Rondônia",110010,69.52,-10.7889,-65.3296,
"JARU","Rondônia",110011,67.61,-10.4318,-62.4788,
"JI-PARANÁ","Rondônia",110012,67.76,-10.8777,-61.9322,
"MACHADINHO D'OESTE","Rondônia",110013,65.8,-9.44363,-61.9818,
"NOVA BRASILÂNDIA D'OESTE","Rondônia",110014,64.58,-11.7247,-62.3127,
"OURO PRETO DO OESTE","Rondônia",110015,67.22,-10.7167,-62.2565,
"PIMENTA BUENO","Rondônia",110018,67.22,-11.672,-61.198,
"PORTO VELHO","Rondônia",110020,67.22,-8.76077,-63.8999,
"PRESIDENTE MÉDICI","Rondônia",110025,65.84,-11.169,-61.8986,
"RIO CRESPO","Rondônia",110026,66.92,-9.69965,-62.9011,
"ROLIM DE MOURA","Rondônia",110028,69.52,-11.7271,-61.7714,
"SANTA LUZIA D'OESTE","Rondônia",110029,66.57,-11.9074,-61.7777,
"VILHENA","Rondônia",110030,69.7,-12.7502,-60.1488,
"SÃO MIGUEL DO GUAPORÉ","Rondônia",110032,64.58,-11.6953,-62.7192,
"NOVA MAMORÉ","Rondônia",110033,64.01,-10.4077,-65.3346,
"ALVORADA D'OESTE","Rondônia",110034,65.16,-11.3463,-62.2847,
