"name","group","id","Razão de dependência","Taxa de frequência bruta ao médio","Taxa de frequência bruta à pré-escola","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao médio","Taxa de frequência líquida à pré-escola","Taxa de frequência líquida ao superior","% de 0 a 3 anos na escola","% de 4 a 5 anos na escola","% de 25 anos ou mais com superior completo","Renda per capita","Renda per capita , exceto renda nula","População total em domicílios particulares permanentes, exceto com renda nula","IDHM"
"ALTA FLORESTA D'OESTE","Rondônia",110001,47.37,45.99,35.4,21.23,34.6,34.15,10.5,4.89,39.18,5.51,476.99,512.46,22429,0.641
"ARIQUEMES","Rondônia",110002,46.68,58.77,46.92,27.95,37.07,40.96,12.91,9.89,55.34,8.13,689.95,698.01,88730,0.702
"CABIXI","Rondônia",110003,48.12,68.27,58.34,22.04,42.14,58.34,9.86,12.49,66.92,4.93,457.17,468.09,6156,0.65
"CACOAL","Rondônia",110004,43.79,80.94,54.45,38.23,43.97,51.33,17.45,11.38,62.41,8.71,738.06,750.2,76876,0.718
"CEREJEIRAS","Rondônia",110005,45.67,57.67,54.11,20.94,38.23,49.74,10.77,13.45,61.27,7.09,577.18,581.57,16815,0.692
"COLORADO DO OESTE","Rondônia",110006,45.82,64.95,41.62,41.96,40.53,40.11,21.92,10.67,49.14,7.88,535.41,545.28,18204,0.685
"CORUMBIARA","Rondônia",110007,46.32,42.49,32.19,10.23,33.22,29.83,1.79,1.3,34.37,4.52,402.15,414.1,8397,0.613
"COSTA MARQUES","Rondônia",110008,60.13,32.48,68.2,19.67,21.53,55.72,5.67,13.15,63.69,4.98,370.77,378.98,13246,0.611
"ESPIGÃO D'OESTE","Rondônia",110009,46.83,71.24,32.47,18.67,38.96,30.29,9.83,6.01,45.82,5.72,590.8,606.09,27791,0.672
"GUAJARÁ-MIRIM","Rondônia",110010,56.67,61.7,43.87,17.32,31.72,40.96,5.66,9.26,51.67,7.06,494.69,517.03,38203,0.657
"JARU","Rondônia",110011,47.49,67.74,55.79,20.09,36.67,52.33,7.8,8.81,67.63,6.94,575.14,579.75,51304,0.689
"JI-PARANÁ","Rondônia",110012,43.98,67.27,47.06,27.38,45.02,42.6,12.65,7.85,57.19,8.73,743.35,747.05,115322,0.714
"MACHADINHO D'OESTE","Rondônia",110013,52.55,33.72,33.77,13.65,19.13,30.11,4.75,2.3,38.54,3.72,401.42,434.33,28671,0.596
"NOVA BRASILÂNDIA D'OESTE","Rondônia",110014,46.8,64.58,54.54,13.63,38.95,52.82,5.83,7.51,56.82,4.76,499.59,513.49,18998,0.643
"OURO PRETO DO OESTE","Rondônia",110015,46.08,51.96,59.09,21.9,30.01,53.05,11.43,14.7,78.48,6.2,576.51,584.3,37159,0.682
"PIMENTA BUENO","Rondônia",110018,45.13,50.76,54.17,26.56,34.61,51.86,12.06,11.94,65.65,8.07,734.76,739.7,33386,0.71
"PORTO VELHO","Rondônia",110020,42.97,57.31,51.7,33.41,34.79,43.16,15.84,15.32,67.26,12.21,929.19,936.28,419354,0.736
"PRESIDENTE MÉDICI","Rondônia",110025,46.95,80.25,55.82,19.43,44.97,49.99,8.97,11.49,54.82,5.06,520.2,539.67,21459,0.664
"RIO CRESPO","Rondônia",110026,53.02,46.06,48.44,14.59,33.36,44.24,6.56,2.02,59.47,3.58,420.61,450.11,3071,0.643
"ROLIM DE MOURA","Rondônia",110028,44.5,56.38,46.28,31.6,40.78,43.78,15,7.64,56.35,8.47,657.65,662.66,49999,0.7
"SANTA LUZIA D'OESTE","Rondônia",110029,45.72,76.32,32.79,19,44.56,29.06,5.94,17.09,43.74,5.42,476.08,486.57,8674,0.67
"VILHENA","Rondônia",110030,44.68,67.5,62,35.23,45.18,56.13,15.06,13.91,78.73,10.6,768.98,770.66,75450,0.731
"SÃO MIGUEL DO GUAPORÉ","Rondônia",110032,50.32,63.03,36.56,13.61,41.69,33.25,4.33,4.58,42.71,3.86,440.6,487.07,19630,0.646
"NOVA MAMORÉ","Rondônia",110033,56.64,45,33.28,12.94,23.49,33.28,5.57,3.18,42.87,3.49,377.34,394.19,21311,0.587
"ALVORADA D'OESTE","Rondônia",110034,48.82,67.15,35.93,15.58,48.69,34.68,6.23,6.03,40.39,5.43,469.26,481.33,16275,0.643
"ALTO ALEGRE DOS PARECIS","Rondônia",110037,52.06,60.11,20.11,15.96,41.98,18.96,5.5,1.35,24.76,3.14,341.22,372.11,11701,0.592
"ALTO PARAÍSO","Rondônia",110040,53.17,37.77,30.53,12.3,22.18,27.99,5.19,5.3,35.98,3.02,498.49,507.68,16802,0.625
"BURITIS","Rondônia",110045,51.51,52.62,30.99,11.19,34.35,29.82,3.32,3.93,32.69,4.03,458.05,471,31377,0.616
"NOVO HORIZONTE DO OESTE","Rondônia",110050,47.61,67.78,53.85,16.6,41.78,53.85,9.04,9.06,61.14,4.25,346.38,365.37,9668,0.634
"CACAULÂNDIA","Rondônia",110060,53.74,75.97,52.78,15.89,43.39,52.78,9.05,0.87,59.76,3.59,499.93,511.23,5597,0.646
"CAMPO NOVO DE RONDÔNIA","Rondônia",110070,53.14,26.96,25.46,6.18,11.89,24.88,2.39,8.23,26.95,2.95,507.69,548.79,11659,0.593
"CANDEIAS DO JAMARI","Rondônia",110080,54.61,46.98,41.19,15.01,28.94,38.39,6.84,10.31,65.41,3.94,463.63,480.46,18992,0.649
"CASTANHEIRAS","Rondônia",110090,48.71,77.51,33,24.72,39.05,33,8.52,0,36.62,4.06,455.53,476.1,3405,0.658
"CHUPINGUAIA","Rondônia",110092,50.76,74.48,43.21,14.42,35.49,40.09,2.77,15.57,53.86,5.03,483.36,494.33,7875,0.652
"CUJUBIM","Rondônia",110094,54.11,43.61,26.86,9.85,27.24,26.86,3.1,6.53,41.93,2.21,495.31,514.6,15111,0.612
