"name","id","Taxa de desocupação - 18 anos ou mais 2010","Taxa de desocupação - 18 a 24 anos 2010","Taxa de desocupação - 25 a 29 anos 2010","IDHM 1991","IDHM 2000","IDHM 2010","IDHM Renda 1991","IDHM Renda 2000","IDHM Renda 2010","% de 0 a 5 anos na escola 2010","% de 18 a 24 anos na escola 2010","% de 25 a 29 anos na escola 2010","Taxa de frequência bruta à pré-escola 2010","Taxa de frequência bruta ao superior 2010","Taxa de frequência líquida à pré-escola 2010","Taxa de frequência líquida ao superior 2010","Renda per capita 1991","Renda per capita 2000","Renda per capita 2010",,,,,,,,
"Brasil",76,7.29,15.07,8.77,493,612,727,647,692,739,43.15,30.64,14.31,68.77,29.82,55.02,13.95,447.56,592.46,793.87,,,,,,,,
"Abadia de Goiás",5200050,4.39,9.73,1.88,408,569,708,563,623,687,38,22.84,10.66,72.28,20.11,66.21,12.69,266.22,385.66,574.96,,,,,,,,
"Abadia dos Dourados",3100104,3.78,10.54,5.05,449,575,689,551,616,693,14,30.17,8.17,19.31,26.33,17.63,18.55,247.43,370.42,596.18,,,,,,,,
"Abadiânia",5200100,3.16,4.29,3.54,0.41,503,689,0.56,598,671,23,25.79,11.1,35.74,14.65,31.87,6.79,261.01,330.07,519.87,,,,,,,,
"Abaeté",3100203,4.38,12.11,5.71,417,587,698,561,664,0.72,43,27.09,12.56,65.87,24.52,56.65,15.45,263.12,498.82,707.24,,,,,,,,
"Abaetetuba",1500107,8.9,16.5,10.69,386,501,628,0.49,523,579,35,32.27,12.11,81.18,12.88,67.04,5.73,169.25,206.84,293.01,,,,,,,,
"Abaiara",2300101,10.01,15.93,14.65,286,452,628,377,464,0.54,50,15.14,7.79,42.75,12.41,24.09,6.06,83.34,143.75,229.74,,,,,,,,
"Abaíra",2900108,7.91,17.66,12.53,352,495,603,456,0.52,577,42,34.08,24.66,107.51,11.63,87.42,4.52,136.5,204.01,290.53,,,,,,,,
"Abaré",2900207,13.61,23.01,13.42,332,422,575,464,488,533,32,30.89,12.91,59.29,8.5,50.47,2.23,143.36,166.97,220.16,,,,,,,,
"Abatiá",4100103,3.92,8.13,4.88,423,553,687,545,575,676,34,21.39,15.33,37.48,25.71,32.49,11.77,237.64,286.5,535.86,,,,,,,,
"Abdon Batista",4200051,1.07,1.61,2.73,0.41,576,694,495,583,0.66,38,19.64,6.35,57.89,23.52,57.89,16.54,174.16,301.64,485.35,,,,,,,,
"Abelardo Luz",4200101,3.02,5.71,3.59,443,579,696,555,661,684,27,27.59,16.27,71.75,23.86,53.9,12.59,252.42,490.21,562.88,,,,,,,,
"Abel Figueiredo",1500131,10.76,21.19,12.83,357,508,622,549,592,625,40,23.26,9.52,73.01,9.71,58.85,4.17,243.37,317.56,390.12,,,,,,,,
"Abre Campo",3100302,2.9,6.27,3.06,379,0.54,654,479,586,646,27,27.12,7.05,60.9,17.38,53.17,11.87,158,307.67,444.32,,,,,,,,
"Abreu E Lima",2600054,17.65,32.42,20.41,455,561,679,528,0.56,625,46,26.62,13.72,100.6,21.68,65.77,8.38,213.32,260.29,390.4,,,,,,,,
"Abreulândia",1700251,7.79,16.12,5.43,215,454,665,0.42,506,0.7,33,22.27,19.1,40.81,22.93,30.08,5.04,109.42,186.14,624.03,,,,,,,,
"Acaiaca",3100401,20.77,38.96,24.05,336,518,0.63,533,564,0.61,40,31.9,21.09,123.49,17,81.02,3.65,220.82,267.8,357.03,,,,,,,,
"Açailândia",2100055,11.09,19.43,12,344,498,672,565,579,643,36,24.31,12.88,68.51,10.84,60.41,4.32,269.72,294.27,438.56,,,,,,,,
"Acajutiba",2900306,7.82,17.38,9.36,285,422,582,441,477,0.56,47,26.49,5.39,68.35,8.2,59.08,2.66,124.44,155.56,260.46,,,,,,,,
"Acará",1500206,7.11,15.46,6.35,254,0.35,506,0.45,481,517,40,31.17,14.66,55.02,5.09,36.03,1.28,131.4,160.07,199.34,,,,,,,,
"Acarape",2300150,7.24,14.65,9.12,349,0.49,606,443,485,559,43,17.86,3.49,91.23,6.83,70.35,3.89,125.8,163.3,259.03,,,,,,,,
"Acaraú",2300200,7.9,16.21,10.99,277,415,601,449,483,554,50,18.81,5.03,78.46,5.96,64.6,2.69,131.06,161.22,250.79,,,,,,,,
"Acari",2400109,3.16,8.95,2.39,0.43,557,679,0.5,559,633,48,20.07,7.77,38.63,17.95,28.44,11.25,179.82,258.99,410.61,,,,,,,,
"Acauã",2200053,3.31,10.87,4.08,143,274,528,344,333,517,25,18.23,8.76,10.94,6.42,10.94,1.93,68.14,63.5,199.35,,,,,,,,
"Aceguá",4300034,6.09,15.33,6.76,509,621,687,0.62,644,703,17,20.63,11.46,45.74,19.71,42.95,10.57,378.29,440.76,633.63,,,,,,,,
"Acopiara",2300309,6.13,12.54,10.14,254,412,595,413,498,563,51,23.61,8.84,55.7,13.48,46.17,6.13,104.25,177.7,266.65,,,,,,,,
"Acorizal",5100102,6.86,24.67,10.45,386,0.5,628,497,554,594,30,26.12,5.8,47.42,4.87,41.11,2.33,175.97,251.09,321.58,,,,,,,,
"Acrelândia",1200013,8.54,18.06,7.54,247,451,604,535,565,584,28,17.92,10.21,41.73,16.91,34.34,4.89,223.65,268.77,303.76,,,,,,,,
"Acreúna",5200134,7.6,12.76,9.93,429,571,686,599,665,0.71,47,22.37,7.07,46.19,11.13,41.13,6.53,331.6,500.67,664.09,,,,,,,,
"Açu",2400208,10.04,19.25,12.68,399,536,661,514,571,641,48,24,9.87,78.98,14.69,64.55,6.9,195.46,279.08,432.38,,,,,,,,
"Açucena",3100500,5.05,11.09,3.26,267,443,0.61,447,501,595,19,22.32,6.48,40.15,11.55,34.1,5.04,129.39,181.29,325.42,,,,,,,,
