Código;Espacialidades;Taxa de desocupação - 18 anos ou mais 2010;Taxa de desocupação - 18 a 24 anos 2010;Taxa de desocupação - 25 a 29 anos 2010;IDHM 1991;IDHM 2000;IDHM 2010;IDHM Renda 1991;IDHM Renda 2000;IDHM Renda 2010;% de 0 a 5 anos na escola 2010;% de 18 a 24 anos na escola 2010;% de 25 a 29 anos na escola 2010;Taxa de frequência bruta à pré-escola 2010;Taxa de frequência bruta ao superior 2010;Taxa de frequência líquida à pré-escola 2010;Taxa de frequência líquida ao superior 2010;Renda per capita 1991;Renda per capita 2000;Renda per capita 2010
76;Brasil;7.29;15.07;8.77;0.493;0.612;0.727;0.647;0.692;0.739;43.15;30.64;14.31;68.77;29.82;55.02;13.95;447.56;592.46;793.87
5200050;Abadia de Goiás;4.39;9.73;1.88;0.408;0.569;0.708;0.563;0.623;0.687;38;22.84;10.66;72.28;20.11;66.21;12.69;266.22;385.66;574.96
3100104;Abadia dos Dourados;3.78;10.54;5.05;0.449;0.575;0.689;0.551;0.616;0.693;14;30.17;8.17;19.31;26.33;17.63;18.55;247.43;370.42;596.18
5200100;Abadiânia;3.16;4.29;3.54;0.41;0.503;0.689;0.56;0.598;0.671;23;25.79;11.1;35.74;14.65;31.87;6.79;261.01;330.07;519.87
3100203;Abaeté;4.38;12.11;5.71;0.417;0.587;0.698;0.561;0.664;0.72;43;27.09;12.56;65.87;24.52;56.65;15.45;263.12;498.82;707.24
1500107;Abaetetuba;8.9;16.5;10.69;0.386;0.501;0.628;0.49;0.523;0.579;35;32.27;12.11;81.18;12.88;67.04;5.73;169.25;206.84;293.01
2300101;Abaiara;10.01;15.93;14.65;0.286;0.452;0.628;0.377;0.464;0.54;50;15.14;7.79;42.75;12.41;24.09;6.06;83.34;143.75;229.74
2900108;Abaíra;7.91;17.66;12.53;0.352;0.495;0.603;0.456;0.52;0.577;42;34.08;24.66;107.51;11.63;87.42;4.52;136.5;204.01;290.53
2900207;Abaré;13.61;23.01;13.42;0.332;0.422;0.575;0.464;0.488;0.533;32;30.89;12.91;59.29;8.5;50.47;2.23;143.36;166.97;220.16
4100103;Abatiá;3.92;8.13;4.88;0.423;0.553;0.687;0.545;0.575;0.676;34;21.39;15.33;37.48;25.71;32.49;11.77;237.64;286.5;535.86
4200051;Abdon Batista;1.07;1.61;2.73;0.41;0.576;0.694;0.495;0.583;0.66;38;19.64;6.35;57.89;23.52;57.89;16.54;174.16;301.64;485.35
4200101;Abelardo Luz;3.02;5.71;3.59;0.443;0.579;0.696;0.555;0.661;0.684;27;27.59;16.27;71.75;23.86;53.9;12.59;252.42;490.21;562.88
1500131;Abel Figueiredo;10.76;21.19;12.83;0.357;0.508;0.622;0.549;0.592;0.625;40;23.26;9.52;73.01;9.71;58.85;4.17;243.37;317.56;390.12
3100302;Abre Campo;2.9;6.27;3.06;0.379;0.54;0.654;0.479;0.586;0.646;27;27.12;7.05;60.9;17.38;53.17;11.87;158;307.67;444.32
2600054;Abreu E Lima;17.65;32.42;20.41;0.455;0.561;0.679;0.528;0.56;0.625;46;26.62;13.72;100.6;21.68;65.77;8.38;213.32;260.29;390.4
1700251;Abreulândia;7.79;16.12;5.43;0.215;0.454;0.665;0.42;0.506;0.7;33;22.27;19.1;40.81;22.93;30.08;5.04;109.42;186.14;624.03
3100401;Acaiaca;20.77;38.96;24.05;0.336;0.518;0.63;0.533;0.564;0.61;40;31.9;21.09;123.49;17;81.02;3.65;220.82;267.8;357.03
2100055;Açailândia;11.09;19.43;12;0.344;0.498;0.672;0.565;0.579;0.643;36;24.31;12.88;68.51;10.84;60.41;4.32;269.72;294.27;438.56
2900306;Acajutiba;7.82;17.38;9.36;0.285;0.422;0.582;0.441;0.477;0.56;47;26.49;5.39;68.35;8.2;59.08;2.66;124.44;155.56;260.46
1500206;Acará;7.11;15.46;6.35;0.254;0.35;0.506;0.45;0.481;0.517;40;31.17;14.66;55.02;5.09;36.03;1.28;131.4;160.07;199.34
2300150;Acarape;7.24;14.65;9.12;0.349;0.49;0.606;0.443;0.485;0.559;43;17.86;3.49;91.23;6.83;70.35;3.89;125.8;163.3;259.03
2300200;Acaraú;7.9;16.21;10.99;0.277;0.415;0.601;0.449;0.483;0.554;50;18.81;5.03;78.46;5.96;64.6;2.69;131.06;161.22;250.79
2400109;Acari;3.16;8.95;2.39;0.43;0.557;0.679;0.5;0.559;0.633;48;20.07;7.77;38.63;17.95;28.44;11.25;179.82;258.99;410.61
2200053;Acauã;3.31;10.87;4.08;0.143;0.274;0.528;0.344;0.333;0.517;25;18.23;8.76;10.94;6.42;10.94;1.93;68.14;63.5;199.35
4300034;Aceguá;6.09;15.33;6.76;0.509;0.621;0.687;0.62;0.644;0.703;17;20.63;11.46;45.74;19.71;42.95;10.57;378.29;440.76;633.63
2300309;Acopiara;6.13;12.54;10.14;0.254;0.412;0.595;0.413;0.498;0.563;51;23.61;8.84;55.7;13.48;46.17;6.13;104.25;177.7;266.65
5100102;Acorizal;6.86;24.67;10.45;0.386;0.5;0.628;0.497;0.554;0.594;30;26.12;5.8;47.42;4.87;41.11;2.33;175.97;251.09;321.58
1200013;Acrelândia;8.54;18.06;7.54;0.247;0.451;0.604;0.535;0.565;0.584;28;17.92;10.21;41.73;16.91;34.34;4.89;223.65;268.77;303.76
5200134;Acreúna;7.6;12.76;9.93;0.429;0.571;0.686;0.599;0.665;0.71;47;22.37;7.07;46.19;11.13;41.13;6.53;331.6;500.67;664.09
2400208;Açu;10.04;19.25;12.68;0.399;0.536;0.661;0.514;0.571;0.641;48;24;9.87;78.98;14.69;64.55;6.9;195.46;279.08;432.38
3100500;Açucena;5.05;11.09;3.26;0.267;0.443;0.61;0.447;0.501;0.595;19;22.32;6.48;40.15;11.55;34.1;5.04;129.39;181.29;325.42
3500105;Adamantina;5.61;13.23;7.76;0.592;0.721;0.79;0.672;0.718;0.772;54;29.33;8.8;90.83;41.34;80.84;24.84;525.09;696.1;975.43
5200159;Adelândia;8.12;10.62;9.28;0.437;0.529;0.702;0.577;0.582;0.664;54;22.62;2.68;106.25;29.21;58.48;12.4;289.18;299.33;497.31
3500204;Adolfo;5.94;18.42;2.57;0.513;0.667;0.73;0.608;0.644;0.71;60;31.38;18.58;60.43;25.66;52.6;18.89;351.62;439.57;661.65
4100202;Adrianópolis;4.67;9.91;13.08;0.4;0.542;0.667;0.528;0.539;0.644;24;24.24;11.08;28.68;23;28.68;7.96;214.45;228.71;440.79
2900355;Adustina;6.99;13.75;6.21;0.206;0.347;0.546;0.424;0.492;0.526;27;22.97;8.44;54.4;5.8;47.9;3.27;112.28;171.39;211.37
2600104;Afogados da Ingazeira;7.81;15.5;10.54;0.383;0.518;0.657;0.474;0.571;0.623;38;22.95;10.93;71.74;14.29;60.42;7.83;152.5;280.17;386.56
2400307;Afonso Bezerra;11.1;25.06;13.57;0.343;0.456;0.585;0.415;0.508;0.56;46;28.45;6.8;81.01;16.71;67.65;7.92;106.02;188.57;261.3
3200102;Afonso Cláudio;3.64;5.4;4.46;0.386;0.553;0.667;0.524;0.612;0.661;42;13.66;5.61;54.92;15.81;44.93;6.59;209.14;359.81;489.59
2100105;Afonso Cunha;12.47;21.21;18.94;0.278;0.337;0.529;0.349;0.384;0.471;42;33.93;17.07;50.24;13.57;46.15;6.56;70.12;87.25;149.78
2600203;Afrânio;6.5;8.94;7.58;0.263;0.386;0.588;0.401;0.461;0.542;34;31.88;7.02;74.55;15.84;68.62;8.43;97.02;140.58;233.59
1500305;Afuá;12.24;20.2;14.77;0.25;0.33;0.489;0.459;0.468;0.485;24;36.72;22.42;34.94;14.74;29.27;4.18;139.09;147.25;163.98
2600302;Agrestina;6.31;11.45;7.84;0.305;0.436;0.592;0.478;0.534;0.581;49;33.39;11.66;89.86;9.66;73.79;4.58;156.31;222.12;297.02
2200103;Agricolândia;4;8.28;5.64;0.379;0.447;0.599;0.363;0.428;0.55;42;29.42;11.67;44.66;19.76;39.61;7.55;76.42;115.07;245.68
4200200;Agrolândia;2;3.86;1.33;0.458;0.593;0.725;0.578;0.633;0.727;53;17.35;5.66;67.95;16.01;61.38;9.86;291.07;411.89;739.1
4200309;Agronômica;1.11;3.16;1.92;0.431;0.602;0.741;0.573;0.668;0.774;45;15.77;6.06;62.06;17.75;51.24;9.87;282.4;511.95;985.65
1500347;Água Azul do Norte;14.33;21.71;13.73;0.208;0.376;0.564;0.489;0.565;0.563;37;28.49;10.03;29.28;2.31;24.1;0.81;167.45;269.22;266.02
3100609;Água Boa;4.54;7.33;7.1;0.256;0.451;0.576;0.442;0.548;0.594;22;17.11;7.83;28.74;8.77;26.9;3.64;124.94;242.11;322.12
5100201;Água Boa;3.67;8.98;1.85;0.426;0.603;0.729;0.617;0.718;0.723;54;34.22;19.74;73.4;30.83;60.65;15.49;371.2;695.97;720.74
2200202;Água Branca;6.43;12.92;7.34;0.42;0.506;0.639;0.465;0.518;0.6;52;32.57;17.28;101.48;25.08;71.01;9.42;144.59;201.45;335.63
2500106;Água Branca;4.36;7.64;7.38;0.267;0.415;0.572;0.332;0.466;0.542;30;21.65;11.07;63.73;16.66;51.7;8.44;63.19;145.3;233.65
2700102;Água Branca;4.1;10.48;7.48;0.282;0.392;0.549;0.367;0.459;0.527;29;24.93;6.47;60.73;9.2;55.24;4.07;78.7;138.86;213
5000203;Água Clara;4.36;7.44;5.55;0.353;0.534;0.67;0.578;0.669;0.705;26;16.19;6.05;47.49;17.31;42.14;9.14;292.22;513.9;642.97
3100708;Água Comprida;2.5;7.07;4.11;0.442;0.604;0.675;0.573;0.67;0.719;49;19.1;7.43;84.91;19.09;68.87;10.1;282.22;517.02;701.19
4200408;Água Doce;2.23;8.15;3.17;0.446;0.627;0.698;0.578;0.689;0.724;35;32.39;13.08;54.59;26.1;54.59;17.57;292.36;581.61;722.21
2100154;Água Doce do Maranhão;7.15;8.39;15.17;0.21;0.293;0.5;0.388;0.4;0.494;49;27.41;12.42;97.98;10.13;69.05;2.81;89.32;96.12;172.55
3200169;Água Doce do Norte;4.69;10.19;7.06;0.351;0.527;0.652;0.436;0.555;0.619;30;18.63;3.03;52.91;18.82;52.91;7.27;120.94;252.68;377.39
2900405;Água Fria;8.9;16.44;14.26;0.23;0.382;0.55;0.357;0.427;0.529;35;32.43;14.71;65.64;8.03;52.43;2.24;73.95;113.81;215.12
5200175;Água Fria de Goiás;5.8;12.52;6.38;0.315;0.481;0.671;0.489;0.599;0.672;15;19.07;10.94;34.58;13.22;32.94;3.81;167.57;332.03;525.2
3500303;Aguaí;6.3;11.88;8.4;0.491;0.642;0.715;0.634;0.697;0.703;34;21.18;7.21;61.2;16.93;53.16;9.85;412.97;610.66;636.07
5200209;Água Limpa;1.09;3.65;;0.454;0.585;0.722;0.557;0.639;0.691;28;21.36;3.95;55.92;20.56;53.46;11.37;255.38;426.11;591.23
3100807;Aguanil;5.04;10.11;10.3;0.405;0.574;0.663;0.515;0.637;0.672;29;32.97;13.99;49.9;17.16;49.9;8.1;197.39;420.84;524.43
2400406;Água Nova;19.78;38.3;31.3;0.309;0.411;0.616;0.44;0.409;0.527;53;33.98;8.92;40.85;15.41;40.85;8.55;123.58;101.84;212.82
2600401;Água Preta;20.76;33.56;21.89;0.287;0.388;0.553;0.434;0.46;0.514;29;31.94;9.12;39.55;5.48;27.92;3.22;118.92;139.69;195.47
4300059;Água Santa;1.22;1.73;2.59;0.448;0.63;0.75;0.573;0.645;0.84;40;38.08;24.57;62.51;37;62.51;24.11;283.57;442.3;1491.17
2600500;Águas Belas;6.76;10.44;11.49;0.26;0.358;0.526;0.417;0.45;0.546;24;35.07;16.16;47.82;12.13;38.87;5.49;107.49;131.78;239.3
3500402;Águas da Prata;6.5;10.77;7.94;0.576;0.692;0.781;0.674;0.714;0.75;40;17.51;5.76;77.12;18.86;67.08;12.29;531.44;680.16;853.39
4200507;Águas de Chapecó;2.33;6.45;2.03;0.453;0.582;0.713;0.513;0.672;0.712;40;18.59;8.72;86.91;17.85;76.34;10.12;195.01;522.53;673.13
3500501;Águas de Lindóia;3.65;7.44;2.54;0.558;0.695;0.745;0.664;0.741;0.725;52;17.75;6.04;89.02;20.7;71.59;11.13;498.51;805.89;730.13
3500550;Águas de Santa Bárbara;2.35;4.71;6.01;0.559;0.668;0.757;0.65;0.697;0.744;48;20.57;8.12;98.75;24.01;73.37;8.99;456.63;612.97;818.15
3500600;Águas de São Pedro;6.85;17.43;1.95;0.634;0.791;0.854;0.803;0.867;0.849;67;29.4;16.24;111.85;64.42;79.93;22.27;1185.28;1759.76;1580.72
3100906;Águas Formosas;7.48;12.75;8.4;0.382;0.508;0.645;0.508;0.537;0.624;26;21.43;6.36;47.53;12.62;45.61;6.41;188.7;226.06;389.57
