"name","group","id","Taxa de frequência líquida à pré-escola","% de 0 a 3 anos na escola","IDHM","Taxa de frequência líquida à pré-escola 2000","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","Razão de dependência 2000","% de 0 a 3 anos na escola"
"ALTA FLORESTA D'OESTE","Rondônia",110001,34.15,4.89,0.641,9.63,371.15,476.99,28.5167721945305,0.483,61.65,0.65
"ARIQUEMES","Rondônia",110002,40.96,9.89,0.702,18.93,530.87,689.95,29.9659050238288,0.556,59.88,2.6
"CABIXI","Rondônia",110003,58.34,12.49,0.65,31.32,342.46,457.17,33.4958827308299,0.488,60.81,11.35
"CACOAL","Rondônia",110004,51.33,11.38,0.718,22.64,456.63,738.06,61.6319558504697,0.567,57.28,1.38
"CEREJEIRAS","Rondônia",110005,49.74,13.45,0.692,14.04,511.47,577.18,12.8472833206249,0.542,59.85,2.3
"COLORADO DO OESTE","Rondônia",110006,40.11,10.67,0.685,18.17,401.32,535.41,33.4122396092893,0.545,58.47,1.47
"CORUMBIARA","Rondônia",110007,29.83,1.3,0.613,13.49,229,402.15,75.6113537117904,0.401,63.93,0
"COSTA MARQUES","Rondônia",110008,55.72,13.15,0.611,50.93,331.08,370.77,11.9880391446176,0.486,75.8,1.28
"ESPIGÃO D'OESTE","Rondônia",110009,30.29,6.01,0.672,8.69,429.82,590.8,37.45288725513,0.501,58.67,0.4
"GUAJARÁ-MIRIM","Rondônia",110010,40.96,9.26,0.657,36.33,422.65,494.69,17.0448361528452,0.573,69.16,3.59
"JARU","Rondônia",110011,52.33,8.81,0.689,20.04,392.62,575.14,46.4876980286282,0.514,59.78,3.58
"JI-PARANÁ","Rondônia",110012,42.6,7.85,0.714,14.98,536.5,743.35,38.5554520037279,0.564,56.56,2.41
"MACHADINHO D'OESTE","Rondônia",110013,30.11,2.3,0.596,13.24,319.18,401.42,25.7660254401905,0.449,62.53,0
"NOVA BRASILÂNDIA D'OESTE","Rondônia",110014,52.82,7.51,0.643,16.35,300.74,499.59,66.1202367493516,0.459,62.87,0
"OURO PRETO DO OESTE","Rondônia",110015,53.05,14.7,0.682,26.65,480.62,576.51,19.9513128875203,0.533,59,3.72
"PIMENTA BUENO","Rondônia",110018,51.86,11.94,0.71,22.61,505.58,734.76,45.3301159064837,0.573,57.55,4.26
"PORTO VELHO","Rondônia",110020,43.16,15.32,0.736,34.69,613.61,929.19,51.4300614396767,0.613,60.1,6.73
"PRESIDENTE MÉDICI","Rondônia",110025,49.99,11.49,0.664,14.73,348.96,520.2,49.0715268225585,0.485,58.91,2.9
"RIO CRESPO","Rondônia",110026,44.24,2.02,0.643,17.15,236.58,420.61,77.7876405444247,0.441,59.27,0
"ROLIM DE MOURA","Rondônia",110028,43.78,7.64,0.7,19.83,444.3,657.65,48.0193562907945,0.559,59.3,2.19
"SANTA LUZIA D'OESTE","Rondônia",110029,29.06,17.09,0.67,15.83,234.37,476.08,103.13180014507,0.482,60.48,1.11
"VILHENA","Rondônia",110030,56.13,13.91,0.731,30.14,582.3,768.98,32.0590760776232,0.62,57.34,11.38
"SÃO MIGUEL DO GUAPORÉ","Rondônia",110032,33.25,4.58,0.646,11.02,291.3,440.6,51.2530037761758,0.409,66.06,0.53
"NOVA MAMORÉ","Rondônia",110033,33.28,3.18,0.587,7.57,269.78,377.34,39.8695233152939,0.446,64.75,0
"ALVORADA D'OESTE","Rondônia",110034,34.68,6.03,0.643,17.87,318.86,469.26,47.1680361287085,0.469,62.27,0
"ALTO ALEGRE DOS PARECIS","Rondônia",110037,18.96,1.35,0.592,9.37,222.42,341.22,53.4124629080119,0.402,65.45,0.22
"ALTO PARAÍSO","Rondônia",110040,27.99,5.3,0.625,7.19,454.28,498.49,9.73188341991724,0.446,61.61,1.93
"BURITIS","Rondônia",110045,29.82,3.93,0.616,3.71,485.88,458.05,-5.72775170824071,0.415,61.61,0.07
"NOVO HORIZONTE DO OESTE","Rondônia",110050,53.85,9.06,0.634,8.33,396.64,346.38,-12.6714400968132,0.442,60.93,3.19
"CACAULÂNDIA","Rondônia",110060,52.78,0.87,0.646,19.46,447.09,499.93,11.8186494889172,0.454,60.85,1.3
"CAMPO NOVO DE RONDÔNIA","Rondônia",110070,24.88,8.23,0.593,7.48,385.24,507.69,31.7853805419998,0.432,67.64,0.88
"CANDEIAS DO JAMARI","Rondônia",110080,38.39,10.31,0.649,18.99,384.79,463.63,20.4890979495309,0.478,70.91,1.43
"CASTANHEIRAS","Rondônia",110090,33,0,0.658,18.37,310.67,455.53,46.628255061641,0.498,62.94,0
"CHUPINGUAIA","Rondônia",110092,40.09,15.57,0.652,20.35,369.03,483.36,30.9812210389399,0.479,62.91,1.64
"CUJUBIM","Rondônia",110094,26.86,6.53,0.612,16.81,397.38,495.31,24.6439176606774,0.425,64.52,0
"GOVERNADOR JORGE TEIXEIRA","Rondônia",110100,23.87,8.13,0.596,5.01,323.18,396.36,22.6437279534625,0.38,68.28,0.19
"ITAPUÃ DO OESTE","Rondônia",110110,34.51,5.29,0.614,10.7,400.02,411.36,2.83485825708715,0.478,70.38,2.33
"MINISTRO ANDREAZZA","Rondônia",110120,31.12,4.76,0.638,10.75,385.37,448.38,16.3505202792122,0.467,65.05,0.4
"MIRANTE DA SERRA","Rondônia",110130,55.23,4.64,0.643,13.99,356.77,527.79,47.935644813185,0.47,65.69,1.79
"MONTE NEGRO","Rondônia",110140,19.98,2.06,0.607,2.97,341.19,443.85,30.0888068231777,0.435,64.2,0.73
"NOVA UNIÃO","Rondônia",110143,36.4,4.5,0.587,13.81,244.26,352.24,44.2069925489233,0.405,64.86,1.21
"PARECIS","Rondônia",110145,23.88,1.67,0.617,10.14,185.42,343.73,85.3791392514292,0.412,66.76,0.99
"PIMENTEIRAS DO OESTE","Rondônia",110146,43.22,1.49,0.665,15.34,216.55,493.67,127.970445624567,0.524,69.83,0
"PRIMAVERA DE RONDÔNIA","Rondônia",110147,47.94,22.37,0.641,10.87,234.37,442.61,88.8509621538593,0.439,60.44,0
"SÃO FELIPE D'OESTE","Rondônia",110148,44.95,0,0.649,11.26,263.7,368.24,39.6435343193022,0.466,57.32,0
"SÃO FRANCISCO DO GUAPORÉ","Rondônia",110149,11.12,2.7,0.611,3.79,450.63,477.9,6.0515278609946,0.434,66.7,0.28
"SERINGUEIRAS","Rondônia",110150,9.79,4.34,0.598,17.11,307.82,441.13,43.3077772724319,0.439,67.94,2.18
"TEIXEIRÓPOLIS","Rondônia",110155,27.86,16.69,0.643,23.05,279.34,464.45,66.2669148707668,0.44,63.17,7.39
"THEOBROMA","Rondônia",110160,34.16,5.7,0.589,3.01,230.65,382.6,65.8790375027097,0.402,60.4,0
"URUPÁ","Rondônia",110170,34.11,13.47,0.609,6.1,254.48,380.5,49.5205910091166,0.424,63.03,0.5
"VALE DO ANARI","Rondônia",110175,16.56,0,0.584,8.33,440.68,394.02,-10.5881819006989,0.409,66.63,1.21
"VALE DO PARAÍSO","Rondônia",110180,23.9,11.13,0.627,7.46,333.84,432.03,29.4122933141625,0.438,60.92,3.45
"ACRELÂNDIA","Acre",120001,34.34,16.13,0.604,16.24,268.77,303.76,13.0185660602002,0.451,79.8,2.94
"ASSIS BRASIL","Acre",120005,39.54,12.86,0.588,8.75,199.63,291.33,45.9349797124681,0.425,83.6,9.18
"BRASILÉIA","Acre",120010,45.35,8.95,0.614,25.77,277.15,376.07,35.6918636117626,0.476,73.64,1.8
