"name","group","id","Razão de dependência 2000","Taxa de frequência bruta ao superior 2000","Taxa de frequência líquida ao superior 2000","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao superior","Renda per capita , exceto renda nula 2000","Renda per capita , exceto renda nula 2010","% Variação renda per capita exceto nula 2000-2010","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","IDHM","% de 25 anos ou mais com superior completo"
"ALTA FLORESTA D'OESTE","Rondônia",110001,61.65,5.19,2.22,21.23,10.5,386.54,512.46,32.5761887514876,371.15,476.99,28.5167721945305,0.483,0.641,5.51
"ARIQUEMES","Rondônia",110002,59.88,6.57,2.03,27.95,12.91,545.77,698.01,27.8945343276472,530.87,689.95,29.9659050238288,0.556,0.702,8.13
"CABIXI","Rondônia",110003,60.81,8.5,0,22.04,9.86,361.76,468.09,29.3924148606811,342.46,457.17,33.4958827308299,0.488,0.65,4.93
"CACOAL","Rondônia",110004,57.28,8.75,3.78,38.23,17.45,465.56,750.2,61.1392731334307,456.63,738.06,61.6319558504697,0.567,0.718,8.71
"CEREJEIRAS","Rondônia",110005,59.85,12.34,5.89,20.94,10.77,534.35,581.57,8.83690465050997,511.47,577.18,12.8472833206249,0.542,0.692,7.09
"COLORADO DO OESTE","Rondônia",110006,58.47,12.27,4.44,41.96,21.92,411.2,545.28,32.6070038910506,401.32,535.41,33.4122396092893,0.545,0.685,7.88
"CORUMBIARA","Rondônia",110007,63.93,4.39,0.92,10.23,1.79,252.73,414.1,63.8507498120524,229,402.15,75.6113537117904,0.401,0.613,4.52
"COSTA MARQUES","Rondônia",110008,75.8,2.49,1.61,19.67,5.67,338.92,378.98,11.8198985011212,331.08,370.77,11.9880391446176,0.486,0.611,4.98
"ESPIGÃO D'OESTE","Rondônia",110009,58.67,4.12,2.01,18.67,9.83,450.62,606.09,34.5013536904709,429.82,590.8,37.45288725513,0.501,0.672,5.72
"GUAJARÁ-MIRIM","Rondônia",110010,69.16,8.5,2.39,17.32,5.66,446.9,517.03,15.692548668606,422.65,494.69,17.0448361528452,0.573,0.657,7.06
"JARU","Rondônia",110011,59.78,4.69,1.48,20.09,7.8,414.44,579.75,39.8875591159155,392.62,575.14,46.4876980286282,0.514,0.689,6.94
"JI-PARANÁ","Rondônia",110012,56.56,11.17,5.9,27.38,12.65,544.4,747.05,37.2244673034533,536.5,743.35,38.5554520037279,0.564,0.714,8.73
"MACHADINHO D'OESTE","Rondônia",110013,62.53,0.53,0,13.65,4.75,387,434.33,12.2299741602067,319.18,401.42,25.7660254401905,0.449,0.596,3.72
"NOVA BRASILÂNDIA D'OESTE","Rondônia",110014,62.87,2.06,0,13.63,5.83,316.61,513.49,62.1837591990146,300.74,499.59,66.1202367493516,0.459,0.643,4.76
"OURO PRETO DO OESTE","Rondônia",110015,59,7.01,2.6,21.9,11.43,489.16,584.3,19.449668820018,480.62,576.51,19.9513128875203,0.533,0.682,6.2
"PIMENTA BUENO","Rondônia",110018,57.55,8.54,4.6,26.56,12.06,527.37,739.7,40.2620551036274,505.58,734.76,45.3301159064837,0.573,0.71,8.07
